Gridpoint,2019-01-13 20:00:00
382,-0.008583722708620982
383,-0.008583722708620982
384,-0.008583722708620982
385,-0.008583722708620982
386,-0.008583722708620982
387,-0.008583722708620982
388,-0.008583722708620982
389,-0.008583722708620982
390,-0.008583722708620982
391,-0.008583722708620982
392,-0.008583722708620982
393,-0.008583722708620982
394,-0.008583722708620982
395,-0.008583722708620982
396,-0.008583722708620982
397,-0.008583722708620982
398,-0.008583722708620982
399,-0.008583722708620982
400,-0.008583722708620982
401,-0.008583722708620982
402,-0.008583722708620982
403,-0.008583722708620982
404,-0.008583722708620982
405,-0.008583722708620982
406,-0.008583722708620982
407,-0.008583722708620982
408,-0.008583722708620982
409,-0.008583722708620982
410,-0.008583722708620982
411,-0.008583722708620982
412,-0.008583722708620982
413,-0.008583722708620982
414,-0.008583722708620982
415,-0.008583722708620982
416,-0.008583722708620982
417,-0.008583722708620982
418,-0.008583722708620982
419,-0.008583722708620982
420,-0.008583722708620982
421,-0.008583722708620982
422,-0.008583722708620982
423,-0.008583722708620982
424,-0.008583722708620982
425,-0.008583722708620982
426,-0.008583722708620982
427,-0.008583722708620982
428,-0.008583722708620982
429,-0.008583722708620982
430,-0.008583722708620982
431,-0.008583722708620982
432,-0.008583722708620982
433,-0.008583722708620982
434,-0.008583722708620982
435,-0.008583722708620982
436,-0.008583722708620982
437,-0.008583722708620982
438,-0.008583722708620982
439,-0.008583722708620982
440,-0.008583722708620982
441,-0.008583722708620982
442,-0.008583722708620982
443,-0.008583722708620982
444,-0.008583722708620982
445,-0.008583722708620982
446,-0.008583722708620982
447,-0.00858217670732592
448,-0.008566100228218734
449,-0.008535141139200158
450,-0.008492384328501398
451,-0.00844076446150089
452,-0.00838305300796785
453,-0.008321845421046553
454,-0.008259549455859924
455,-0.008198371973991375
456,-0.008140307881831687
457,-0.008087130191250248
458,-0.008040378594688738
459,-0.00800135131106322
460,-0.007971098096563933
461,-0.007950413401983783
462,-0.007939830379933668
463,-0.00794174368603398
464,-0.00797467996401567
465,-0.008038762481992886
466,-0.008128774611106534
467,-0.008239500231293722
468,-0.008365741049009504
469,-0.008502351659958546
470,-0.00864425514908599
471,-0.008786481932528229
472,-0.008924184284207047
473,-0.009052674705322249
474,-0.009167441506847502
475,-0.00926417702009439
476,-0.009338803491577306
477,-0.009387487663906431
478,-0.009406661849036276
479,-0.009396141657778714
480,-0.00936928441967436
481,-0.009328723359982357
482,-0.009275639618894035
483,-0.009211620454653836
484,-0.009138648311887
485,-0.009059091017192909
